id;title;origin_title;description;year;tags;kinopoisk;imdb;torrent_link;full_text;src_small;src;src_big;src_xbig;src_xxbig;src_xxxbig;video
11;За жменю даляраў;Per un pugno di dollari;;1964;#kinakipa_вэстэрн, #kinakipa_баявік, #kinakipa_драма, #kinakipa_агучка;https://www.kinopoisk.ru/film/8455/;http://www.imdb.com/title/tt0058461/;http://www.baravik.org/topic/1604/, http://www.baravik.org/topic/132/;За жменю даляраў | Per un pugno di dollari | 1964<br><br>Беларуская агучка: http://www.baravik.org/topic/1604/ (DVO)<br>(люстра): http://www.baravik.org/topic/132/<br>Беларускія субцітры: (няма)<br><br>IMDb: http://www.imdb.com/title/tt0058461/<br>Kinopoisk: https://www.kinopoisk.ru/film/8455/<br><br>#kinakipa_вэстэрн #kinakipa_баявік #kinakipa_драма #kinakipa_агучка;https://pp.userapi.com/c637131/v637131694/31648/wqcqO43ddOc.jpg;https://pp.userapi.com/c637131/v637131694/31649/O3AeXsXXA5E.jpg;https://pp.userapi.com/c637131/v637131694/3164a/n8w9OC3HtrA.jpg;https://pp.userapi.com/c637131/v637131694/3164b/2nu1zg7ozRc.jpg;https://pp.userapi.com/c637131/v637131694/3164c/8FpEV2qU540.jpg;https://pp.userapi.com/c637131/v637131694/3164d/dRxfAPSlfFU.jpg;"<iframe src=""https://vk.com/video_ext.php?oid=6102831&id=159503188&hash=08690342be2dd11f"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
12;Мой сусед Тотара;Tonari no Totoro;;1988;#kinakipa_анімэ, #kinakipa_мультфільм, #kinakipa_фэнтэзі, #kinakipa_прыгоды, #kinakipa_сямейны, #kinakipa_агучка;https://www.kinopoisk.ru/film/8221/;http://www.imdb.com/title/tt0096283/;http://www.baravik.org/topic/1141/, http://www.baravik.org/topic/1538/;Мой сусед Тотара | Tonari no Totoro | 1988<br><br>Беларуская агучка: http://www.baravik.org/topic/1141/ (VO)<br>1080p: http://www.baravik.org/topic/1538/<br>Беларускія субцітры: (няма)<br><br>IMDb: http://www.imdb.com/title/tt0096283/<br>Kinopoisk: https://www.kinopoisk.ru/film/8221/<br><br>#kinakipa_анімэ #kinakipa_мультфільм #kinakipa_фэнтэзі #kinakipa_прыгоды #kinakipa_сямейны #kinakipa_агучка;https://pp.userapi.com/c637131/v637131694/313c5/o9HbjDOuy1U.jpg;https://pp.userapi.com/c637131/v637131694/313c6/J0zw1coc7TQ.jpg;https://pp.userapi.com/c637131/v637131694/313c7/P8oWUOZp0iU.jpg;https://pp.userapi.com/c637131/v637131694/313c8/CGGdIJWPTls.jpg;https://pp.userapi.com/c637131/v637131694/313c9/Zm7yq7WNFWc.jpg;;"<iframe src=""https://vk.com/video_ext.php?oid=-77181494&id=169985550&hash=a13db4b2c1740479"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
13;Каб скончыць войны;To End All Wars;Беларуская агучка: ёсцьБеларускія субцітры: (няма);2001;#kinakipa_баявік, #kinakipa_драма, #kinakipa_ваенны, #kinakipa_агучка;https://www.kinopoisk.ru/film/4730/;http://www.imdb.com/title/tt0243609/;;Каб скончыць войны | To End All Wars | 2001<br><br>Беларуская агучка: ёсць<br>Беларускія субцітры: (няма)<br>Набыць дыск: http://prastora.by/videa/kab-skoncyc-vojny http://imbryk.by/katalioh/videa/kab-skoncyc-vojny.html<br><br>Пераклад, агучка і выпуск дыска былі зроблены пад кіраўніцтвам каманды [club45627030|Кінаконг]! <br><br>IMDb: http://www.imdb.com/title/tt0243609/<br>Kinopoisk: https://www.kinopoisk.ru/film/4730/<br><br>#kinakipa_баявік #kinakipa_драма #kinakipa_ваенны #kinakipa_агучка;https://pp.userapi.com/c637131/v637131694/306f9/22ral9AauDs.jpg;https://pp.userapi.com/c637131/v637131694/306fa/q9T4g13JpRA.jpg;https://pp.userapi.com/c637131/v637131694/306fb/-GmU4OpkuIQ.jpg;https://pp.userapi.com/c637131/v637131694/306fc/NKC5gZWSFKc.jpg;;;"<iframe src=""https://www.youtube.com/embed/qP7eJWmV2IQ"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
14;The Animatrix;Аніматрыца;;2003;#animatrix, #kinakipa_баявік, #kinakipa_прыгоды, #kinakipa_фантастыка, #kinakipa_анімэ, #kinakipa_субцітры;https://www.kinopoisk.ru/film/325797/;http://www.imdb.com/title/tt0328832/;;The Animatrix | Аніматрыца | 2003<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: http://belazar.info/belsoft/cinema.php#animatrix<br><br>IMDb: http://www.imdb.com/title/tt0328832/<br>Kinopoisk: https://www.kinopoisk.ru/film/325797/<br><br>#kinakipa_баявік #kinakipa_прыгоды #kinakipa_фантастыка #kinakipa_анімэ #kinakipa_субцітры;https://pp.userapi.com/c637131/v637131694/2ef4d/bhcmJ13jYYA.jpg;https://pp.userapi.com/c637131/v637131694/2ef4e/55RXRZJQaxA.jpg;https://pp.userapi.com/c637131/v637131694/2ef4f/Q6ZNcGutEaY.jpg;https://pp.userapi.com/c637131/v637131694/2ef50/qI6roNZh4EI.jpg;https://pp.userapi.com/c637131/v637131694/2ef51/nFsNgzlIcvI.jpg;https://pp.userapi.com/c637131/v637131694/2ef52/QvEz1lLv0ko.jpg;
15;Snow Cake;Снежны пірог;Дзякуй спадару [id403026989|Fornir Iogannen] за пераклад!;2006;#snow_cake, #kinakipa_драма, #kinakipa_меладрама, #kinakipa_субцітры;https://www.kinopoisk.ru/film/102186/;http://www.imdb.com/title/tt0448124/;;Snow Cake | Снежны пірог | 2006<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: http://belazar.info/belsoft/cinema.php#snow_cake<br><br>Дзякуй спадару [id403026989|Fornir Iogannen] за пераклад!<br><br>IMDb: http://www.imdb.com/title/tt0448124/<br>Kinopoisk: https://www.kinopoisk.ru/film/102186/<br><br>#kinakipa_драма #kinakipa_меладрама #kinakipa_субцітры;https://pp.userapi.com/c637131/v637131694/2ed11/sXHspICdNbA.jpg;https://pp.userapi.com/c637131/v637131694/2ed12/2zMi6p1-Ujs.jpg;https://pp.userapi.com/c637131/v637131694/2ed13/tlHNe6l5L2g.jpg;;;;
16;Чарапашкі-ніндзя;Teenage Mutant Ninja Turtles;;2012;#kinakipa_серыял, #kinakipa_мульфільм, #kinakipa_прыгоды, #kinakipa_мультсерыял, #kinakipa_агучка;https://www.kinopoisk.ru/film/584136/;http://www.imdb.com/title/tt1877889/;;Чарапашкі-ніндзя | Teenage Mutant Ninja Turtles | 2012<br><br>Беларуская агучка:<br>Трэйлер: https://www.youtube.com/watch?v=8IBOvbF-uzM<br>Сезон 1 (DVO)<br>1 серыя: https://yadi.sk/i/uxAgByg53Bu9Cp vk.cc/6alH28 <br>2 серыя: https://yadi.sk/i/Ce-1U8ds3BuBFP vk.cc/6alKI7<br>Серыі 3-26 у перакладзе адсутнічаюць<br>Беларускія субцітры: (няма)<br><br>Дзякуй праекту [club99010784|Kanapa Project - пераклад, агучка.] за пераклад! Падтрымаць праект можна тут: https://vk.com/page-99010784_49507666<br><br>IMDb: http://www.imdb.com/title/tt1877889/<br>Kinopoisk: https://www.kinopoisk.ru/film/584136/<br><br>#kinakipa_серыял #kinakipa_мульфільм #kinakipa_прыгоды #kinakipa_мультсерыял #kinakipa_агучка;https://pp.userapi.com/c636128/v636128694/5628e/FXNfr3Jlpsg.jpg;https://pp.userapi.com/c636128/v636128694/5628f/gwUWRTxOhkU.jpg;https://pp.userapi.com/c636128/v636128694/56290/otzJzXELYTQ.jpg;https://pp.userapi.com/c636128/v636128694/56291/_neLJVHUtmQ.jpg;https://pp.userapi.com/c636128/v636128694/56292/KNZDrbu-Bws.jpg;;
17;Свінка Пэпа;Peppa Pig;Дзіцячы найпапулярнейшы мультфільм можна паглядзець на беларускай мове дзякуючы ахвараванням, якія зрабілі ўсе жадаючыя дапамагчы камандзе [club45627030|Кінаконг] у іх нялёгка працы. Зараз новыя серыі Свінкі Пэпы выходзяць рэгулярна на сайце peppa.by;2004;#kinakipa_сямейны, #kinakipa_мультфільм, #kinakipa_серыял, #kinakipa_агучка;https://www.kinopoisk.ru/film/699617/;http://www.imdb.com/title/tt0426769/;;Свінка Пэпа | Peppa Pig | 2004<br><br>Дзіцячы найпапулярнейшы мультфільм можна паглядзець на беларускай мове дзякуючы ахвараванням, якія зрабілі ўсе жадаючыя дапамагчы камандзе [club45627030|Кінаконг] у іх нялёгка працы. Зараз новыя серыі Свінкі Пэпы выходзяць рэгулярна на сайце peppa.by<br><br>IMDb: http://www.imdb.com/title/tt0426769/<br>Kinopoisk: https://www.kinopoisk.ru/film/699617/<br><br>#kinakipa_сямейны #kinakipa_мультфільм #kinakipa_серыял #kinakipa_агучка;;;;;;;
18;Восень у Нью-Ёрку;Autumn in New York;Ўіл Кін, уладальнік моднага нью-ёркскага рэстарану, лавелас і майстар мімалётных інтрыжак, пасля знаёмства з Шарлот Філдынґ нечакана бянтэжыцца. Шарлот удвая маладзейшая за яго, яна прагне адчуць усю красу «дарослага жыцця», і на гэта мае важкая прычыны. Ўіл дазваляе сабе завязаць адносіны з Шарлот, палічыўшы, што гэта будзе яшчэ адна кароткая сувязь, якая яго ні да чога не абавязвае. Аднак ягоныя ўяўленні пра жанчын будуць разбураны, бо сапраўднае каханне мяняе ўсё.;2000;#kinakipa_драма, #kinakipa_меладрама, #kinakipa_агучка;https://www.kinopoisk.ru/film/16953/;http://www.imdb.com/title/tt0174480/;http://www.baravik.org/topic/884/;Восень у Нью-Ёрку | Autumn in New York | 2000<br> <br>Ўіл Кін, уладальнік моднага нью-ёркскага рэстарану, лавелас і майстар мімалётных інтрыжак, пасля знаёмства з Шарлот Філдынґ нечакана бянтэжыцца. Шарлот удвая маладзейшая за яго, яна прагне адчуць усю красу «дарослага жыцця», і на гэта мае важкая прычыны. Ўіл дазваляе сабе завязаць адносіны з Шарлот, палічыўшы, што гэта будзе яшчэ адна кароткая сувязь, якая яго ні да чога не абавязвае. Аднак ягоныя ўяўленні пра жанчын будуць разбураны, бо сапраўднае каханне мяняе ўсё. <br> <br>Беларуская агучка: http://www.baravik.org/topic/884/ (DVO) <br>Беларускія субцітры: (няма) <br> <br>IMDb: http://www.imdb.com/title/tt0174480/ <br>Kinopoisk: https://www.kinopoisk.ru/film/16953/ <br> <br>#kinakipa_драма #kinakipa_меладрама #kinakipa_агучка;https://pp.userapi.com/c626219/v626219694/6c2bb/cA3HO6h04N4.jpg;https://pp.userapi.com/c626219/v626219694/6c2bc/dVUhgQoo5b8.jpg;https://pp.userapi.com/c626219/v626219694/6c2bd/4w4KB18yeas.jpg;https://pp.userapi.com/c626219/v626219694/6c2be/nRDmCX-6FyI.jpg;;;"<iframe src=""https://vk.com/video_ext.php?oid=-38166808&id=162936197&hash=dab2ed947a5e50c7"" width=""480"" height=""270"" frameborder=""0"" allowfullscreen></iframe>"
19;Гульня ў імітацыю;The Imitation Game;"Фільм, які атрымаў 8 намінацый на прэмію ""Оскар"" у 2015 годзе, распавядае біяграфічную гісторыю ангельскага матэматыка і логіка Алана Т'юрынга. Падчас Другой сусветнай вайны Т'юрынг з дапамогай вядучых матэматыкаў Вялікабрытаніі спрабуе ўзламаць код нямецкай машыны ""Энігма"".Пераклад субтытраў падрыхтаваў­ [id68277180|Міхаіл Ермаловіч].";2014;#kinakipa_драма, #kinakipa_ваенны, #kinakipa_біяграфія, #kinakipa_субцітры;https://www.kinopoisk.ru/film/635772/;http://www.imdb.com/title/tt2084970/;http://www.baravik.org/topic/1654/;"Гульня ў імітацыю | The Imitation Game | 2014<br><br>Фільм, які атрымаў 8 намінацый на прэмію ""Оскар"" у 2015 годзе, распавядае біяграфічную гісторыю ангельскага матэматыка і логіка Алана Т'юрынга. Падчас Другой сусветнай вайны Т'юрынг з дапамогай вядучых матэматыкаў Вялікабрытаніі спрабуе ўзламаць код нямецкай машыны ""Энігма"".<br>Пераклад субтытраў падрыхтаваў­ [id68277180|Міхаіл Ермаловіч].<br><br>Беларуская агучка: (няма) <br>Беларускія субцітры: http://www.baravik.org/topic/1654/<br> <br>IMDb: http://www.imdb.com/title/tt2084970/ <br>Kinopoisk: https://www.kinopoisk.ru/film/635772/ <br> <br>#kinakipa_драма #kinakipa_ваенны #kinakipa_біяграфія #kinakipa_субцітры";https://pp.userapi.com/c626219/v626219694/6bd24/hHzG_7dGZJ8.jpg;https://pp.userapi.com/c626219/v626219694/6bd25/HLi5Up-L_OE.jpg;https://pp.userapi.com/c626219/v626219694/6bd26/AdlzILiA0Pc.jpg;https://pp.userapi.com/c626219/v626219694/6bd27/Q2RCTcE68vI.jpg;;;
20;Фантазія;Fantasia;Незвычайны анімацыйны канцэрт, небывалае раней яднанне музыкі і мультыплікацыі. Уолт Дысней і Леапольд Стакоўскі вырашылі прадставіць на экране фантазіі, якія ўзнікаюць у свядомасці людзей пры праслухоўванні музычных шэдэўраў. Стужка складаецца з васьмі класічных кампазіцый, праілюстраваных сюжэтнымі інсцэніроўкамі і рытмічнымі абстракцыямі, якія апярэдзілі цуды кампутарнай графікі.;1940;#kinakipa_анімацыя, #kinakipa_музыка, #kinakipa_субцітры;https://www.kinopoisk.ru/film/536/;http://www.imdb.com/title/tt0032455/;http://www.baravik.org/topic/1653/;Фантазія | Fantasia | 1940<br><br>Незвычайны анімацыйны канцэрт, небывалае раней яднанне музыкі і мультыплікацыі. Уолт Дысней і Леапольд Стакоўскі вырашылі прадставіць на экране фантазіі, якія ўзнікаюць у свядомасці людзей пры праслухоўванні музычных шэдэўраў. <br>Стужка складаецца з васьмі класічных кампазіцый, праілюстраваных сюжэтнымі інсцэніроўкамі і рытмічнымі абстракцыямі, якія апярэдзілі цуды кампутарнай графікі.<br><br>Беларуская агучка: (няма)<br>Беларускія субцітры: http://www.baravik.org/topic/1653/<br><br>IMDb: http://www.imdb.com/title/tt0032455/<br>Kinopoisk: https://www.kinopoisk.ru/film/536/<br><br>#kinakipa_анімацыя #kinakipa_музыка #kinakipa_субцітры;https://pp.userapi.com/c636416/v636416694/6a0ce/s4hBB_oNAtA.jpg;https://pp.userapi.com/c636416/v636416694/6a0cf/mt1nxXOpMbM.jpg;https://pp.userapi.com/c636416/v636416694/6a0d0/vQt5y4vCOmU.jpg;https://pp.userapi.com/c636416/v636416694/6a0d1/sYSjVAKScKw.jpg;https://pp.userapi.com/c636416/v636416694/6a0d2/f5LE5jojO8c.jpg;https://pp.userapi.com/c636416/v636416694/6a0d3/W6fwgFXIwCc.jpg;
